"","id","fire_name","fire_year","spsm_dc","spsm_ffmc","spsm_dmc","spsm_isi","spsm_bui","spsm_fwi","area_ha","area_m2","prov","defoliated","tsd","cumltve_yrs","rbr_cv","rbr_extreme","rbr_median","slope10","slope1","slope2","pre_fire_temp","pre_fire_precip","post_fire_temp","post_fire_precip"
"1",5,"CHA8_2012_1924",2012,308.810059311431,84.641080927896,3.72143068696084,2.39618323411153,6.57996754591698,3.64619340008896,16.5777,165776.9767,"ON",1,1,1,0.663023025037578,173.483315374002,80.8724983058535,-7.88840163535116,-9.841999616768,-10.9133600175553,13.07,371.8737,12.19,371.8737
"2",65,"CHA8_2012_1924",2012,308.810059311431,84.641080927896,3.72143068696084,2.39618323411153,6.57996754591698,3.64619340008896,66.3945,663945.3346,"ON",0,0,0,0.699580748548007,193.965053939233,89.985691018772,-5.68447813669418,-0.442382503007559,-11.5430668155269,13.07,371.8737,12.19,371.8737
"3",6,"RED208_1988_862",1988,321.71263032709,85.0134138440902,4.12148293053064,2.5359263422299,7.58887615463976,4.39174802075062,58.5811,585811.1445,"ON",1,1,1,0.660227215103379,390.049254269944,177.515800476074,-1.52467671159258,-0.907004942438785,-8.32916636009062,14.2,352.3753,12.42,352.3753
"4",38,"RED208_1988_862",1988,321.71263032709,85.0134138440902,4.12148293053064,2.5359263422299,7.58887615463976,4.39174802075062,10971.6038,109716037.5831,"ON",0,0,0,0.964298779238893,395.914574624995,91.823057046777,-0.511192247431124,5.11896039027748,-7.12662104167327,14.25,353.0167,12.46,353.0167
"5",7,"IGN9_1987_492",1987,301.271317305122,84.0273673836568,2.5924544951192,2.28922183738995,4.55850809621656,2.37002445382872,177.702,1777019.6941,"ON",1,2,1,1.1192338673862,481.94783424106,61.9543793314805,-1.21599208264821,6.04730962314423,-17.757029145533,11.58,928.7815,12.05,928.7815
"6",37,"IGN9_1987_492",1987,301.271317305122,84.0273673836568,2.5924544951192,2.28922183738995,4.55850809621656,2.37002445382872,4066.9436,40669436.3754,"ON",0,0,0,0.947230961651815,387.906529217536,83.869032198,-0.936364544277665,1.32580254372359,-12.687586246548,11.68,928.9779,12.14,928.9779
"7",8,"NIP136_1995_1299",1995,288.461342340488,84.6556024599196,5.05338165319831,2.52384564271856,8.66731272891805,5.00580181942548,1666.5907,16665907.4187,"ON",1,2,1,0.926416538281715,378.080639797311,93.981557655029,1.01369829597289,15.4980810074374,-11.0269957249541,10.72,817.9325,11.13,817.9325
"8",43,"NIP136_1995_1299",1995,288.461342340488,84.6556024599196,5.05338165319831,2.52384564271856,8.66731272891805,5.00580181942548,17755.9032,177559031.6527,"ON",0,0,0,0.93835443938129,564.006919146847,99.8311176427505,2.27774558633533,13.305329121136,-10.9871340061981,10.84,843.2618,11.3,843.2618
"9",9,"SLK60_1996_884",1996,271.771722241041,83.9848669502382,3.38988883998113,2.29351043146431,6.08053678106011,3.42886221131457,8.061,80609.9996,"ON",1,2,1,0.484266750021953,541.941396768653,382.042272772671,-3.71599735456555,5.97472649955055,-19.8814381124509,11.93,863.409,11.7,863.409
"10",46,"SLK60_1996_884",1996,271.771722241041,83.9848669502382,3.38988883998113,2.29351043146431,6.08053678106011,3.42886221131457,3027.8766,30278766.2723,"ON",0,0,0,1.27498277648007,563.990042523827,59.8497763659646,-0.971916613688815,5.63161523224707,-11.2986057837606,11.82,853.6785,11.59,853.6785
"11",10,"THU71_1998_684",1998,299.164720292098,84.4405031308605,3.5235107366869,2.31643943562385,6.1825307371296,3.36731340129413,5961.8861,59618861.0674,"ON",1,2,3,1.11980417038376,460.07780250919,91.9211616104721,4.46329961556588,-4.89542067623124,0.106355712049581,10.8,686.4935,11.95,686.4935
"12",53,"THU71_1998_684",1998,299.164720292098,84.4405031308605,3.5235107366869,2.31643943562385,6.1825307371296,3.36731340129413,1633.7176,16337176.4307,"ON",0,0,0,1.1057614842361,460.017762676283,83.8127383932238,3.68269347293144,-6.78304413522119,-0.398320710310067,10.84,680.9436,11.96,680.9436
"13",11,"FOR13_1987_316",1987,331.573299090049,84.8874986544031,3.5513399932921,2.62316048843687,6.25228770193114,3.57897929795308,13.5078,135077.6973,"ON",1,3,1,0.326287914236474,157.359042382447,112.423709584803,0.613753876600368,-1.19024869046324,3.80862490947009,14.21,1355.8582,14.24,1355.8582
"14",36,"FOR13_1987_316",1987,331.573299090049,84.8874986544031,3.5513399932921,2.62316048843687,6.25228770193114,3.57897929795308,83.5346,835346.384,"ON",0,0,0,0.420702132341113,197.070449125932,130.967184821277,1.94299273351564,-0.215576262546412,4.06964251305631,14.21,1355.8582,14.24,1355.8582
"15",12,"NIP51_1996_620",1996,260.372854900992,83.620724024952,3.36669983101882,2.14711657031351,6.17908478533157,3.36098819155053,1404.9404,14049403.7289,"ON",1,3,2,0.8944470001614,505.996574739725,133.974515112139,4.93420984134219,26.3564197932157,-8.59794002634576,11.07,1151.0663,11.27,1151.0663
